20:20:53,49.876871,20.650637,69.2
20:20:55,49.876876,20.650631,69.6
20:20:57,49.876881,20.650624,69.8
20:20:59,49.876881,20.650616,69.6
20:21:00,49.876884,20.65061,69.6
20:21:02,49.876889,20.650585,68.4
20:21:04,49.876898,20.650569,68.1
20:21:06,49.876909,20.650556,68.6
20:21:07,49.876924,20.650544,69.6
20:21:09,49.876935,20.65053,69.8
20:21:11,49.876953,20.650524,72.0
20:21:13,49.876959,20.650526,73.3
20:21:14,49.876967,20.650528,74.7
20:21:16,49.876981,20.650526,77.2
20:21:18,49.876987,20.650513,78.8
20:21:20,49.876993,20.650508,80.6
20:21:21,49.876999,20.650499,82.4
20:21:23,49.877004,20.650487,83.6
20:21:25,49.877009,20.650477,85.0
20:21:27,49.877013,20.650467,85.7
20:21:28,49.877023,20.650476,87.7
20:21:30,49.877032,20.650478,89.3
20:21:32,49.877041,20.650481,90.9
20:21:34,49.877052,20.650484,92.2
20:21:35,49.877059,20.650486,93.9
20:21:37,49.87707,20.650488,95.7
20:21:39,49.877075,20.650491,96.7
20:21:41,49.877084,20.650492,98.5
20:21:42,49.877093,20.650496,100.5
20:21:44,49.877098,20.6505,101.6
20:21:46,49.877104,20.650505,102.8
20:21:48,49.87711,20.650509,104.0
20:21:49,49.877115,20.650512,105.1
20:21:51,49.877122,20.650516,106.7
20:21:53,49.877128,20.650517,108.2
20:21:55,49.877132,20.650518,109.2
20:21:56,49.877134,20.650516,111.1
20:21:58,49.877138,20.650517,112.0
20:22:00,49.877141,20.650517,112.8
20:22:02,49.877144,20.650517,113.8
20:22:03,49.877146,20.650521,115.3
20:22:05,49.87715,20.650521,116.3
20:22:07,49.877155,20.650521,117.2
20:22:09,49.877159,20.65052,118.1
20:22:10,49.877164,20.65052,119.0
20:22:12,49.877168,20.65052,119.9
20:22:14,49.877173,20.65052,120.9
20:22:16,49.877177,20.65052,121.8
20:22:17,49.877181,20.65052,122.7
20:22:19,49.877185,20.650522,124.2
20:22:21,49.877189,20.650525,125.9
20:22:23,49.877191,20.650524,126.8
20:22:24,49.877193,20.650519,127.5
20:22:26,49.877196,20.65051,128.2
20:22:28,49.877202,20.650503,129.2
20:22:30,49.877207,20.650496,130.1
20:22:31,49.877211,20.65049,131.0
20:22:33,49.877215,20.650486,131.6
20:22:35,49.877218,20.650481,132.0
20:22:37,49.877222,20.650473,131.9
20:22:38,49.877226,20.650467,132.1
20:22:40,49.877231,20.650467,132.4
20:22:42,49.877235,20.650471,133.6
20:22:44,49.87724,20.650474,134.7
20:22:45,49.877245,20.650478,135.6
20:22:47,49.87725,20.650479,136.6
20:22:49,49.877255,20.650482,137.5
20:22:51,49.87726,20.650484,138.4
20:22:52,49.877265,20.650484,139.2
20:22:54,49.877275,20.650483,140.8
20:22:56,49.877281,20.650483,141.8
20:22:58,49.877286,20.650485,143.0
20:22:59,49.877292,20.650487,144.1
20:23:01,49.877298,20.65049,145.3
20:23:03,49.877303,20.650492,146.4
20:23:05,49.877305,20.650498,147.4
20:23:07,49.87731,20.650507,149.0
20:23:08,49.877312,20.650512,150.2
20:23:10,49.877318,20.65052,151.9
20:23:12,49.877321,20.650525,153.1
20:23:14,49.877326,20.650529,154.3
20:23:15,49.87733,20.650532,155.5
20:23:17,49.877333,20.650534,156.9
20:23:19,49.877339,20.650537,158.3
20:23:21,49.877344,20.650539,159.6
20:23:23,49.877352,20.650543,161.4
20:23:24,49.877358,20.650547,162.7
20:23:26,49.877365,20.65055,164.5
20:23:28,49.87737,20.650551,165.6
20:23:30,49.877376,20.650554,166.9
20:23:31,49.877383,20.650557,168.8
20:23:33,49.87739,20.650564,170.9
20:23:35,49.877398,20.650572,174.3
20:23:37,49.877401,20.650576,177.1
20:23:38,49.877404,20.650582,180.7
20:23:40,49.877407,20.650587,183.4
20:23:42,49.877411,20.650593,185.8
20:23:44,49.877418,20.650599,188.4
20:23:45,49.877423,20.650605,190.0
20:23:47,49.877427,20.650613,191.7
20:23:49,49.877432,20.650623,193.5
20:23:51,49.877437,20.650633,195.6
20:23:52,49.877442,20.65064,197.6
20:23:54,49.877446,20.650646,199.7
20:23:56,49.877452,20.650645,201.1
20:23:58,49.877458,20.650644,202.4
20:23:59,49.877463,20.650643,203.5
20:24:03,49.877474,20.650642,205.8
20:24:05,49.87748,20.650642,206.9
20:24:07,49.877488,20.650639,208.4
20:24:09,49.877495,20.650641,209.6
20:24:10,49.877502,20.650647,210.7
20:24:12,49.877508,20.650654,211.7
20:24:14,49.877514,20.650658,212.4
20:24:16,49.877521,20.650663,213.2
20:24:18,49.877529,20.650669,214.2
20:24:20,49.877538,20.650675,214.7
20:24:21,49.877546,20.650677,215.1
20:24:23,49.877557,20.650684,216.3
20:24:25,49.877567,20.650688,217.5
20:24:27,49.877578,20.650689,218.7
20:24:29,49.877584,20.650689,219.6
20:24:30,49.877593,20.650691,221.3
20:24:32,49.877598,20.650693,222.4
20:24:34,49.877605,20.650688,223.9
20:24:36,49.877616,20.650682,226.0
20:24:38,49.87763,20.650679,228.8
20:24:39,49.877659,20.650685,234.0
20:24:41,49.877684,20.650686,238.7
20:24:43,49.877719,20.650689,244.3
20:24:45,49.877746,20.650688,248.5
20:24:47,49.877769,20.650694,253.2
20:24:48,49.877794,20.650701,258.1
20:24:50,49.877823,20.650702,263.2
20:24:52,49.877845,20.650706,267.1
20:24:53,49.877866,20.650709,270.7
