time,latitude,longitude,altitude,VDOP,baro_alt
2024-12-04 19:18:47,50.05928,19.977291,1.2,2.7,130.75
2024-12-04 19:18:47,50.05928,19.977294,1.4,2.7,130.92
2024-12-04 19:18:48,50.059281,19.977296,1.6,2.7,130.72
2024-12-04 19:18:49,50.059281,19.977298,1.8,2.7,130.87
2024-12-04 19:18:49,50.059282,19.977299,2.0,2.7,130.7
2024-12-04 19:18:50,50.059282,19.9773,2.1,2.7,130.87
2024-12-04 19:18:51,50.059283,19.977301,2.3,2.7,130.8
2024-12-04 19:18:51,50.059283,19.977303,2.5,2.7,130.84
2024-12-04 19:18:52,50.059283,19.977305,2.7,2.7,130.89
2024-12-04 19:18:53,50.059284,19.977309,2.9,2.8,130.87
