time,latitude,longitude,altitude
12:33:15,50.059303,19.977076,220.4
12:33:16,50.059296,19.977068,220.2
12:33:17,50.059296,19.977068,220.2
12:33:18,50.059285,19.97705,219.8
12:33:19,50.05928,19.977038,219.5
12:33:20,50.059271,19.977013,219.2
12:33:21,50.059261,19.976983,219.0
12:33:22,50.05925,19.976951,218.7
12:33:23,50.05924,19.976919,218.5
12:33:24,50.05923,19.976885,218.4
12:33:25,50.059221,19.976855,218.3
12:33:26,50.059221,19.976827,-39.8
12:33:27,50.059237,19.976789,-39.8
12:33:28,50.059257,19.976757,-39.9
12:33:29,50.059275,19.976713,-39.9
12:33:30,50.059289,19.976657,-39.9
12:33:31,50.059301,19.976593,-39.9
12:33:32,50.059304,19.976544,-39.9
12:33:33,50.05931,19.976523,-40.0
12:33:34,50.059313,19.976509,-40.2
12:33:35,50.059314,19.976461,-39.5
12:33:36,50.059313,19.976444,-39.5
12:33:37,50.059306,19.976417,-40.4
12:33:38,50.059298,19.976391,-41.7
12:33:39,50.05929,19.97636,-42.4
12:33:40,50.05928,19.976327,-42.5
12:33:41,50.059271,19.976292,-41.9
12:33:42,50.059263,19.976256,-40.0
12:33:43,50.059252,19.976221,-39.2
12:33:44,50.059239,19.97619,-38.7
12:33:45,50.059196,19.976132,-38.1
12:33:46,50.059152,19.97607,-37.4
12:33:47,50.059134,19.976028,-36.7
12:33:48,50.05912,19.97601,-36.8
12:33:49,50.05911,19.975996,-37.0
12:33:50,50.059091,19.975992,-39.8
12:33:51,50.059096,19.97599,-39.8
12:33:52,50.059092,19.97598,-39.8
12:33:53,50.059101,19.975986,-39.8
12:33:54,50.059114,19.975992,-39.8
12:33:55,50.059134,19.975981,-39.8
12:33:56,50.059166,19.975962,-39.2
12:33:57,50.05918,19.975954,-38.8
12:33:58,50.059202,19.975958,-39.1
12:33:59,50.059217,19.975957,-39.2
12:34:00,50.059238,19.975957,-39.3
12:34:01,50.059256,19.975946,-39.3
12:34:02,50.05928,19.975925,-38.4
12:34:03,50.059323,19.975894,-37.7
