1727861176.4037447, 50.0359895, 19.5867532, 132.4, {'x': -0.8882488159179687, 'y': -1.3335703247070312, 'z': -10.122684619140625}, {'x': -0.9923664122137404, 'y': 0.31297709923664124, 'z': -0.8015267175572519}
1727861177.5898514, 50.035991, 19.5867547, 132.5, {'x': -0.82360537109375, 'y': -1.3335703247070312, 'z': -10.141838232421874}, {'x': -1.083969465648855, 'y': 0.44274809160305345, 'z': -0.8244274809160306}
1727861178.783778, 50.0359914, 19.5867557, 132.6, {'x': -0.9457096557617187, 'y': -1.3527239379882812, 'z': -10.213664282226562}, {'x': -0.9007633587786259, 'y': 0.24427480916030533, 'z': -0.8702290076335878}
1727861179.9757316, 50.0359913, 19.5867484, 133.2, {'x': -0.9864110839843749, 'y': -1.3479355346679687, 'z': -10.220846887207031}, {'x': -0.9923664122137404, 'y': 0.20610687022900764, 'z': -0.8854961832061069}
1727861181.1721373, 50.0359916, 19.586744500000002, 133.6, {'x': -0.9696516723632812, 'y': -1.3527239379882812, 'z': -10.16338604736328}, {'x': -0.8778625954198473, 'y': 0.3893129770992366, 'z': -0.8244274809160306}
1727861731.1645906, 50.0356852, 19.5867062, 0.0, {'x': -0.8571241943359375, 'y': -1.4891934326171874, 'z': -10.141838232421874}, {'x': -1.1068702290076335, 'y': 0.4351145038167939, 'z': -0.8015267175572519}
1727861732.3730378, 50.0356869, 19.5867132, 175.2, {'x': -0.7733271362304687, 'y': -1.37906015625, 'z': -10.182539660644531}, {'x': -1.549618320610687, 'y': 0.3816793893129771, 'z': -0.7480916030534351}
1727861733.581626, 50.0356871, 19.5867139, 175.5, {'x': -0.8762778076171874, 'y': -1.3072341064453123, 'z': -10.182539660644531}, {'x': -1.0076335877862594, 'y': 0.2900763358778626, 'z': -0.7251908396946565}
1727861734.7981768, 50.0356872, 19.586714399999998, 175.8, {'x': -0.9552864624023437, 'y': -1.3048399047851562, 'z': -10.103531005859374}, {'x': -1.1374045801526718, 'y': 0.5725190839694656, 'z': -0.7022900763358778}
1727861735.99356, 50.0356869, 19.5867149, 176.1, {'x': -0.928950244140625, 'y': -1.2569558715820313, 'z': -10.211270080566406}, {'x': -0.9389312977099237, 'y': 0.40458015267175573, 'z': -0.8091603053435115}
1727861737.2002254, 50.0356844, 19.5867158, 176.8, {'x': -1.01514150390625, 'y': -1.3072341064453123, 'z': -10.192116467285155}, {'x': -0.9389312977099237, 'y': 0.4580152671755725, 'z': -0.8549618320610687}
1727861738.4030795, 50.0356819, 19.5867178, 177.4, {'x': -0.9600748657226562, 'y': -1.3766659545898436, 'z': -10.20887587890625}, {'x': -1.099236641221374, 'y': 0.25190839694656486, 'z': -0.8778625954198473}
1727861739.5959826, 50.0356801, 19.5867196, 177.9, {'x': -0.8571241943359375, 'y': -1.3287819213867187, 'z': -10.137049829101562}, {'x': -1.0305343511450382, 'y': 0.2366412213740458, 'z': -0.9007633587786259}
1727868099.747039, 50.0356706, 19.5865298, 232.5, {'x': -1.0007762939453124, 'y': -1.4628572143554686, 'z': -10.160991845703125}, {'x': -0.7709923664122137, 'y': 0.3053435114503817, 'z': -0.7480916030534351}
1727868100.938668, 50.0356707, 19.5865298, 232.5, {'x': -0.9433154541015625, 'y': -1.446097802734375, 'z': -10.149020837402343}, {'x': -0.9770992366412213, 'y': 0.3969465648854962, 'z': -0.7862595419847328}
1727868102.1135309, 50.0356708, 19.5865296, 232.6, {'x': -0.9696516723632812, 'y': -1.407790576171875, 'z': -10.156203442382813}, {'x': -1.0916030534351144, 'y': 0.3969465648854962, 'z': -0.8320610687022901}
1727868103.3218365, 50.0356709, 19.5865296, 232.6, {'x': -0.9600748657226562, 'y': -1.419761584472656, 'z': -10.187328063964843}, {'x': -1.0458015267175573, 'y': 0.4198473282442748, 'z': -0.7175572519083969}
1727868104.5317173, 50.0356711, 19.5865295, 232.7, {'x': -0.9457096557617187, 'y': -1.419761584472656, 'z': -10.204087475585936}, {'x': -1.083969465648855, 'y': 0.45038167938931295, 'z': -0.9389312977099237}
1727868105.7324312, 50.0356712, 19.5865294, 232.7, {'x': -0.8379705810546875, 'y': -1.4772224243164063, 'z': -10.182539660644531}, {'x': -0.9007633587786259, 'y': 0.5725190839694656, 'z': -0.9236641221374046}
1727868106.933959, 50.0356713, 19.5865291, 232.7, {'x': -0.948103857421875, 'y': -1.4006079711914061, 'z': -10.122684619140625}, {'x': -0.8854961832061069, 'y': 0.48091603053435117, 'z': -0.7786259541984732}
1727868108.1358247, 50.0356714, 19.5865284, 232.7, {'x': -1.0079588989257813, 'y': -1.4700398193359374, 'z': -10.204087475585936}, {'x': -1.0229007633587786, 'y': 0.2748091603053435, 'z': -0.7709923664122137}
1727868109.3254683, 50.0356703, 19.5865151, 234.4, {'x': -0.8643067993164062, 'y': -1.4030021728515625, 'z': -10.153809240722655}, {'x': -0.8702290076335878, 'y': 0.32061068702290074, 'z': -0.8473282442748091}
1727868110.5210114, 50.0356695, 19.5865026, 236.2, {'x': -0.9528922607421875, 'y': -1.4173673828125, 'z': -10.096348400878906}, {'x': -1.0381679389312977, 'y': 0.42748091603053434, 'z': -0.7862595419847328}
1727868111.7216632, 50.0356687, 19.5864952, 237.0, {'x': -0.9648632690429687, 'y': -1.4317325927734375, 'z': -10.256759912109374}, {'x': -1.0534351145038168, 'y': 0.549618320610687, 'z': -0.7175572519083969}
